"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56","resetMakesTestOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.OrdersDataIT","com.example.Selenium.data.OrdersDataIT","resetMakesTestOrderIndependent"
"","43","countsOnlyThisTestsOrders()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.OrdersDataIT","com.example.Selenium.data.OrdersDataIT","countsOnlyThisTestsOrders"
"","34","factoryPersistsBuilderDataAgainstIsolatedPostgres()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.OrdersDataIT","com.example.Selenium.data.OrdersDataIT","factoryPersistsBuilderDataAgainstIsolatedPostgres"
"","66","flywaySeedsReferenceDataButNotPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.OrdersDataIT","com.example.Selenium.data.OrdersDataIT","flywaySeedsReferenceDataButNotPerTestOrders"
